"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
10,85,1821.4045249946341,1915.6604985232618
10,86,1826.7756424040201,1919.5205831524636
10,87,1832.1044968498143,1923.3190163384616
10,88,1837.391128801325,1927.0558496003723
10,89,1842.6355770927323,1930.7311323757192
10,90,1847.8378790048687,1934.3449121245346
10,91,1852.9980703420788,1937.8972344272431
10,92,1858.11618550462,1941.388143076798
10,93,1863.1922575568192,1944.8176801654506
10,94,1868.2263182912975,1948.1858861665241
10,95,1873.2183982895292,1951.4928000115199
10,96,1878.1685269789689,1954.7384591627902
10,97,1883.0767326869895,1957.9228996822455
10,98,1887.9430426917777,1961.0461562961846
10,99,1892.7674832705088,1964.1082624565056
10,100,1897.5500797448165,1967.109250398724
11,0,1164.5650489861016,1304.3137714415911
11,1,1177.8081513892425,1319.0189521580742
11,2,1190.3279052469245,1332.7719468495216
11,3,1202.2705407547157,1345.7639449886597
11,4,1213.7432933893676,1358.1351521888205
11,5,1224.8265897584424,1369.9907226600058
11,6,1235.5819325618413,1381.4110684451562
11,7,1246.057157232821,1392.4587322443344
11,8,1256.2900285871103,1403.1830898733842
11,9,1266.3107584772915,1413.6236419849795
11,10,1276.1438041173612,1423.8123652979452
11,11,1285.8091759551335,1433.775422582239
11,12,1295.3234043605469,1443.534426560859
11,13,1304.7002646418712,1453.107387836318
11,14,1313.9513280580638,1462.509435314705
11,15,1323.0863856743933,1471.7533703781216
11,16,1332.1137780279455,1480.8500979075939
11,17,1341.0406541504947,1489.8089649440171
11,18,1349.8731770004788,1498.6380292812544
11,19,1358.6166878085457,1507.344274340667
11,20,1367.2758386142773,1515.9337824569802
11,21,1375.854699952327,1524.4118756730745
11,22,1384.3568489591894,1532.7832309357373
11,23,1392.7854419317903,1541.0519749627128
11,24,1401.1432744473866,1549.2217628468559
11,25,1409.4328314635625,1557.2958435596079
11,26,1417.6563292938156,1565.2771148322342
11,27,1425.8157509555083,1573.1681693716844
11,28,1433.912876079591,1580.9713339662155
11,29,1441.949306333919,1588.6887027252733
11,30,1449.9264871260843,1596.3221654549516
11,31,1457.8457262058002,1603.8734319797986
11,32,1465.7082096716426,1611.3440530709167
11,33,1473.5150157950447,1618.7354385202264
11,34,1481.2671270011028,1626.0488728048053
11,35,1488.9654402866333,1633.2855287080733
11,36,1496.6107763082941,1640.4464792020865
11,37,1504.2038873346992,1647.532707844573
11,38,1511.7454642247676,1654.545117902838
11,39,1519.236142568715,1661.484540382793
11,40,1526.6765081065425,1668.3517411134098
11,41,1534.067101521321,1675.1474270137605
11,42,1541.4084226898626,1681.8722516505163
11,43,1548.700934461058,1688.5268201780104
11,44,1555.945066022062,1695.111693739342
11,45,1563.1412159038118,1701.627393395975
11,46,1570.289754670149,1708.0744036436445
11,47,1577.3910273288063,1714.4531755645926
11,48,1584.4453554971378,1720.7641296592155
11,49,1591.4530393513583,1727.0076583945486
11,50,1598.4143593839856,1733.1841285020737
11,51,1605.329577991264,1739.29388305319
11,52,1612.1989409093344,1745.337243336986
11,53,1619.0226785158452,1751.3145105619728
11,54,1625.8010070113578,1757.2259674007598
11,55,1632.5341294933583,1763.0718793942872
11,56,1639.2222369341246,1768.8524962302881
11,57,1645.8655090722564,1774.568052908997
11,58,1652.4641152267395,1780.2187708074448
11,59,1659.0182150411747,1785.804858652537
11,60,1665.5279591651702,1791.3265134119345
11,61,1671.9934898788981,1796.783921110627
11,62,1678.4149416663713,1802.1772575804753
11,63,1684.7924417421857,1807.5066891489032
11,64,1691.1261105361586,1812.7723732725428
11,65,1697.416062139705,1817.9744591208291
11,66,1703.6624047174118,1823.113088114151
11,67,1709.8652408869477,1828.1883944205465
11,68,1716.024668070165,1833.200505414754
11,69,1722.1407788178258,1838.1495421027696
11,70,1728.213661110282,1843.035619514982
11,71,1734.2433986361473,1847.858847070546
11,72,1740.230071050864,1852.619328915405
11,73,1746.1737542167614,1857.3171642361574
11,74,1752.0745204261573,1861.9524475518156
11,75,1757.932438608959,1866.5252689851445
11,76,1763.7475745258612,1871.0357145153487
11,77,1769.519990948458,1875.4838662134773
11,78,1775.2497478271248,1879.8698024619862
11,79,1780.9369024478017,1884.193598159683
11,80,1786.5815095783444,1888.4553249131102
11,81,1792.183621605399,1892.6550512154786
11,82,1797.7432886624413,1896.7928426140668
11,83,1803.26055874959,1900.868761866892
11,84,1808.7354778459007,1904.8828690895514
11,85,1814.1680900146616,1908.8352218927887
11,86,1819.558437502095,1912.7258755116945
11,87,1824.9065608300943,1916.5548829268225
11,88,1830.2124988833048,1920.3222949781252
11,89,1835.4762889909778,1924.0281604719407
11,90,1840.6979670040016,1927.6725262816963
11,91,1845.8775673673258,1931.2554374426413
11,92,1851.015123188238,1934.7769372410803
11,93,1856.1106663006701,1938.2370672984548
11,94,1861.1642273258308,1941.6358676506325
11,95,1866.1758357294134,1944.9733768227113
11,96,1871.1455198755884,1948.2496318995666
11,97,1876.0733070780109,1951.4646685925752
11,98,1880.9592236479753,1954.6185213026224
11,99,1885.8032949400247,1957.7112231796089
11,100,1890.6055453950191,1960.7428061788964
12,0,1160.7792207792209,1299.9257884972171
12,1,1173.2948405518805,1313.837338615846
12,2,1185.2427056223962,1326.9780917966343
12,3,1196.7281787379702,1339.4902137300228
12,4,1207.8302819590028,1351.4803286838383
12,5,1218.6094439199182,1363.0299728628938
12,6,1229.112664669713,1374.2025633153753
12,7,1239.377049510227,1385.0481661319538
12,8,1249.4322826829318,1395.6068341851706
12,9,1259.302394288065,1405.9109912289853
12,10,1269.007045316733,1415.9871657893616
12,11,1278.5624774572377,1425.8572727355809
12,12,1287.9822254498379,1435.5395744587022
12,13,1297.2776584763376,1445.0494113672291
12,14,1306.458396613659,1454.3997638067974
12,15,1315.5326347421392,1463.6016891088984
12,16,1324.5073970449307,1472.6646649862191
12,17,1333.3887388523235,1481.5968618807442
12,18,1342.1819081172473,1490.4053608421827
12,19,1350.891475637416,1499.096329236423
12,20,1359.5214408608167,1507.675163508609
12,21,1368.075318453879,1516.146605989318
12,22,1376.5562095928465,1524.5148410878949
12,23,1384.96686103384,1532.7835749954666
12,24,1393.3097143378352,1540.9561021041404
12,25,1401.5869471132914,1549.0353606555402
12,26,1409.8005077467026,1557.023979602678
12,27,1417.952144790073,1564.9243182623875
12,28,1426.0434319401895,1572.7385000197878
12,29,1434.0757893624461,1580.4684411004887
12,30,1442.0505019684044,1588.115875232431
12,31,1449.9687351429568,1595.682374866527
12,32,1457.8315483269128,1603.1693695036026
12,33,1465.639906788567,1610.5781615777569
12,34,1473.3946918598515,1617.9099402679424
12,35,1481.0967098657163,1625.1657935463934
12,36,1488.7466999373614,1632.3467187209828
12,37,1496.3453408687567,1639.453631686706
12,38,1503.893257150343,1646.4873750669638
12,39,1511.391024292927,1653.4487253970347
12,40,1518.8391735372543,1660.3383994787118
12,41,1526.2381960304194,1667.1570600155594
12,42,1533.5885465382642,1673.905320621972
12,43,1540.8906467527395,1680.5837502858487
12,44,1548.1448882449454,1687.1928773530879
12,45,1555.3516351073156,1693.7331930926969
12,46,1562.5112263224487,1700.2051548930492
12,47,1569.6239778910901,1706.6091891331437
12,48,1576.6901847472443,1712.9456937667137
12,49,1583.7101224850005,1719.2150406521646
12,50,1590.6840489181716,1725.417577657026
12,51,1597.6122054914586,1731.5536305620142
12,52,1604.4948185592439,1737.6235047865505
12,53,1611.332100546425,1743.627486955006
12,54,1618.1242510036634,1749.5658463205832
12,55,1624.871457568137,1755.4388360616726
12,56,1631.573896839557,1761.2466944638004
12,57,1638.2317351799563,1766.989645998854
12,58,1644.8451294449794,1772.6679023117542
12,59,1651.4142276533207,1778.2816631237565
12,60,1657.9391696004252,1783.8311170605064
12,61,1664.4200874217015,1789.3164424119761
12,62,1670.857106110117,1794.7378078308623
